ChannelPartnerID,response,n_comp,loyalty,portal,rewards,nps,n_yrs,email,sms,call,Region,total_sales_2021,total_sales_2022,brand_B1_sales_2022,buying_frequency_2022,brand_engagement_2022,buying_frequency_B1_2022,brand_B1_contribution_2022,active_last_quarter,active_last_quarter_B1
18263,1,2,1,1,0,7,8,1,1,1,South,48769.0,118629.0,32853.0,4.0,3.0,1.0,0.2769390283994639,Yes,No
50429,0,1,1,1,1,3,3,1,1,1,South,56862.0,102852.0,0.0,4.0,3.0,0.0,0.0,No,No
98593,1,0,1,0,0,9,6,1,2,1,East,44453.0,25230.0,0.0,1.0,1.0,0.0,0.0,No,No
44804,0,4,1,1,1,2,5,1,1,1,West,25368.0,24939.0,8384.0,2.0,2.0,1.0,0.3361802798829143,Yes,Yes
81015,0,4,1,1,1,2,2,1,1,1,South,90501.0,58363.0,28170.0,2.0,2.0,1.0,0.48266881414594864,No,No
15273,1,2,1,1,1,5,7,1,1,1,East,224952.0,27081.0,3378.0,3.0,3.0,1.0,0.12473690040988146,No,No
51484,1,1,1,0,0,6,6,2,3,2,West,34029.0,15558.0,0.0,1.0,1.0,0.0,0.0,Yes,No
87695,0,3,0,1,0,8,3,0,1,0,North,17669.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No
33906,0,3,1,0,1,2,3,1,0,1,West,20350.0,29749.0,6854.0,3.0,4.0,1.0,0.23039429896803254,Yes,No
70117,0,5,1,1,1,8,6,1,1,1,East,44112.0,83452.0,35568.0,3.0,3.0,1.0,0.4262090782725399,Yes,Yes
73807,0,4,1,1,1,0,8,1,1,1,North,45081.0,118949.0,23713.0,3.0,3.0,1.0,0.19935434513951358,No,No
47262,1,4,1,1,1,4,2,1,1,1,West,93816.0,58600.0,0.0,2.0,2.0,0.0,0.0,Yes,No
99997,1,5,1,0,1,2,8,1,0,1,North,73602.0,108752.0,0.0,4.0,2.0,0.0,0.0,Yes,No
68708,0,3,1,0,1,7,3,1,0,1,North,32233.0,93549.0,0.0,3.0,2.0,0.0,0.0,Yes,No
14919,1,2,0,1,0,1,3,2,1,0,East,55922.0,146964.0,51049.0,5.0,4.0,2.0,0.34735717590702486,Yes,No
25114,0,5,0,1,0,6,7,0,1,0,East,144188.0,93116.0,17851.0,4.0,3.0,1.0,0.19170711800335066,Yes,No
87341,1,2,0,0,0,3,9,2,3,0,South,65107.0,62473.0,51843.0,3.0,2.0,2.0,0.8298464936852721,Yes,No
90856,0,4,0,1,0,5,3,0,1,0,East,19226.0,28895.0,0.0,1.0,1.0,0.0,0.0,No,No
